[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\right_Na_2.csv
XTITLE=x
YTITLE=y

[DATA]
870, 0, 76
871, 0, 79
872, 0, 65
873, 0, 77
874, 0, 90
875, 0, 66
876, 0, 70
877, 0, 82
878, 0, 76
879, 0, 75
880, 0, 88
881, 0, 68
882, 0, 78
883, 0, 76
884, 0, 100
885, 0, 72
886, 0, 70
887, 0, 70
888, 0, 90
889, 0, 76
890, 0, 74
891, 0, 102
892, 0, 84
893, 0, 78
894, 0, 82
895, 0, 76
896, 0, 69
897, 0, 74
898, 0, 72
899, 0, 89
900, 0, 70
901, 0, 89
902, 0, 79
903, 0, 73
904, 0, 77
905, 0, 78
906, 0, 78
907, 0, 65
908, 0, 72
909, 0, 66
910, 0, 71
911, 0, 70
912, 0, 77
913, 0, 80
914, 0, 72
915, 0, 84
916, 0, 75
917, 0, 76
918, 0, 86
919, 0, 71
920, 0, 73
921, 0, 78
922, 0, 62
923, 0, 82
924, 0, 80
925, 0, 63
926, 0, 90
927, 0, 79
928, 0, 80
929, 0, 80
930, 0, 91
931, 0, 88
932, 0, 80
933, 0, 87
934, 0, 79
935, 0, 87
936, 0, 79
937, 0, 72
938, 0, 74
939, 0, 92
940, 0, 68
941, 0, 73
942, 0, 76
943, 0, 83
944, 0, 71
945, 0, 80
946, 0, 98
947, 0, 79
948, 0, 84
949, 0, 70
950, 0, 73
951, 0, 88
952, 0, 79
953, 0, 77
954, 0, 97
955, 0, 85
956, 0, 69
957, 0, 71
958, 0, 84
959, 0, 82
960, 0, 82
961, 0, 91
962, 0, 74
963, 0, 80
964, 0, 80
965, 0, 72
966, 0, 85
967, 0, 87
968, 0, 81
969, 0, 68
970, 0, 84
971, 0, 75
972, 0, 81
973, 0, 81
974, 0, 70
975, 0, 86
976, 0, 75
977, 0, 75
978, 0, 83
979, 0, 69
980, 0, 81
981, 0, 74
982, 0, 77
983, 0, 84
984, 0, 86
985, 0, 78
986, 0, 85
987, 0, 96
988, 0, 61
989, 0, 89
990, 0, 80
991, 0, 68
992, 0, 77
993, 0, 79
994, 0, 73
995, 0, 74
996, 0, 81
997, 0, 106
998, 0, 75
999, 0, 75
1000, 0, 69
1001, 0, 78
1002, 0, 82
1003, 0, 83
1004, 0, 73
1005, 0, 82
1006, 0, 71
1007, 0, 82
1008, 0, 82
1009, 0, 72
1010, 0, 94
1011, 0, 86
1012, 0, 76
1013, 0, 69
1014, 0, 77
1015, 0, 68
1016, 0, 78
1017, 0, 89
1018, 0, 77
1019, 0, 75
1020, 0, 95
1021, 0, 75
1022, 0, 71
1023, 0, 91
1024, 0, 71
1025, 0, 74
1026, 0, 83
1027, 0, 79
1028, 0, 92
1029, 0, 74
1030, 0, 82
1031, 0, 81
1032, 0, 86
1033, 0, 88
1034, 0, 69
1035, 0, 84
1036, 0, 69
1037, 0, 83
1038, 0, 100
1039, 0, 71
1040, 0, 70
1041, 0, 80
1042, 0, 86
1043, 0, 80
1044, 0, 81
1045, 0, 68
1046, 0, 70
1047, 0, 72
1048, 0, 63
1049, 0, 92
1050, 0, 83
1051, 0, 73
1052, 0, 104
1053, 0, 82
1054, 0, 83
1055, 0, 64
1056, 0, 76
1057, 0, 79
1058, 0, 69
1059, 0, 79
1060, 0, 81
1061, 0, 97
1062, 0, 80
1063, 0, 87
1064, 0, 81
1065, 0, 75
1066, 0, 88
1067, 0, 77
1068, 0, 98
1069, 0, 96
1070, 0, 81
1071, 0, 76
1072, 0, 98
1073, 0, 80
1074, 0, 82
1075, 0, 82
1076, 0, 92
1077, 0, 68
1078, 0, 80
1079, 0, 86
1080, 0, 92
1081, 0, 71
1082, 0, 80
1083, 0, 66
1084, 0, 90
1085, 0, 99
1086, 0, 83
1087, 0, 98
1088, 0, 64
1089, 0, 86
1090, 0, 102
1091, 0, 92
1092, 0, 76
1093, 0, 90
1094, 0, 82
1095, 0, 90
1096, 0, 96
1097, 0, 78
1098, 0, 89
1099, 0, 85
1100, 0, 90
1101, 0, 91
1102, 0, 82
1103, 0, 107
1104, 0, 87
1105, 0, 93
1106, 0, 86
1107, 0, 84
1108, 0, 76
1109, 0, 90
1110, 0, 76
1111, 0, 103
1112, 0, 88
1113, 0, 86
1114, 0, 109
1115, 0, 87
1116, 0, 88
1117, 0, 89
1118, 0, 101
1119, 0, 74
1120, 0, 65
1121, 0, 85
1122, 0, 102
1123, 0, 92
1124, 0, 94
1125, 0, 71
1126, 0, 96
1127, 0, 94
1128, 0, 95
1129, 0, 70
1130, 0, 86
1131, 0, 88
1132, 0, 78
1133, 0, 82
1134, 0, 98
1135, 0, 75
1136, 0, 93
1137, 0, 79
1138, 0, 91
1139, 0, 96
1140, 0, 91
1141, 0, 92
1142, 0, 86
1143, 0, 85
1144, 0, 71
1145, 0, 89
1146, 0, 88
1147, 0, 95
1148, 0, 94
1149, 0, 99
1150, 0, 87
1151, 0, 82
1152, 0, 92
1153, 0, 106
1154, 0, 92
1155, 0, 95
1156, 0, 89
1157, 0, 91
1158, 0, 86
1159, 0, 72
1160, 0, 75
1161, 0, 82
1162, 0, 86
1163, 0, 91
1164, 0, 75
1165, 0, 105
1166, 0, 85
1167, 0, 94
1168, 0, 101
1169, 0, 77
1170, 0, 83
1171, 0, 85
1172, 0, 88
1173, 0, 78
1174, 0, 69
1175, 0, 81
1176, 0, 87
1177, 0, 84
1178, 0, 86
1179, 0, 90
1180, 0, 75
1181, 0, 80
1182, 0, 85
1183, 0, 97
1184, 0, 86
1185, 0, 80
1186, 0, 96
1187, 0, 110
1188, 0, 99
1189, 0, 98
1190, 0, 76
1191, 0, 68
1192, 0, 84
1193, 0, 104
1194, 0, 86
1195, 0, 91
1196, 0, 97
1197, 0, 83
1198, 0, 81
1199, 0, 85
1200, 0, 77
1201, 0, 82
1202, 0, 79
