[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\left_Na_2_withSCAadjustment.csv
XTITLE=x
YTITLE=y

[DATA]
7235, 0, 190
7236, 0, 158
7237, 0, 174
7238, 0, 196
7239, 0, 169
7240, 0, 198
7241, 0, 174
7242, 0, 212
7243, 0, 172
7244, 0, 169
7245, 0, 170
7246, 0, 181
7247, 0, 177
7248, 0, 176
7249, 0, 183
7250, 0, 188
7251, 0, 169
7252, 0, 165
7253, 0, 178
7254, 0, 172
7255, 0, 182
7256, 0, 177
7257, 0, 178
7258, 0, 171
7259, 0, 165
7260, 0, 157
7261, 0, 184
7262, 0, 172
7263, 0, 177
7264, 0, 171
7265, 0, 165
7266, 0, 155
7267, 0, 142
7268, 0, 167
7269, 0, 160
7270, 0, 169
7271, 0, 180
7272, 0, 160
7273, 0, 121
7274, 0, 151
7275, 0, 193
7276, 0, 172
7277, 0, 175
7278, 0, 161
7279, 0, 142
7280, 0, 137
7281, 0, 143
7282, 0, 195
7283, 0, 146
7284, 0, 167
7285, 0, 153
7286, 0, 164
7287, 0, 166
7288, 0, 153
7289, 0, 139
7290, 0, 145
7291, 0, 144
7292, 0, 160
7293, 0, 149
7294, 0, 147
7295, 0, 132
7296, 0, 137
7297, 0, 128
7298, 0, 144
7299, 0, 143
7300, 0, 149
7301, 0, 137
7302, 0, 132
7303, 0, 149
7304, 0, 133
7305, 0, 125
7306, 0, 136
7307, 0, 129
7308, 0, 143
7309, 0, 130
7310, 0, 149
7311, 0, 116
7312, 0, 140
7313, 0, 109
7314, 0, 123
7315, 0, 138
7316, 0, 132
7317, 0, 125
7318, 0, 139
7319, 0, 138
7320, 0, 130
7321, 0, 136
7322, 0, 119
7323, 0, 145
7324, 0, 103
7325, 0, 102
7326, 0, 114
7327, 0, 113
7328, 0, 116
7329, 0, 120
7330, 0, 119
7331, 0, 122
7332, 0, 112
7333, 0, 115
7334, 0, 126
7335, 0, 106
7336, 0, 126
7337, 0, 128
7338, 0, 119
7339, 0, 126
7340, 0, 115
7341, 0, 105
7342, 0, 128
7343, 0, 114
7344, 0, 93
7345, 0, 108
7346, 0, 115
7347, 0, 112
7348, 0, 95
7349, 0, 128
7350, 0, 119
7351, 0, 113
7352, 0, 115
7353, 0, 120
7354, 0, 125
7355, 0, 96
7356, 0, 111
7357, 0, 91
7358, 0, 113
7359, 0, 109
7360, 0, 104
7361, 0, 96
7362, 0, 92
7363, 0, 117
7364, 0, 86
7365, 0, 99
7366, 0, 113
7367, 0, 93
7368, 0, 92
7369, 0, 99
7370, 0, 99
7371, 0, 101
7372, 0, 94
7373, 0, 104
7374, 0, 91
7375, 0, 113
7376, 0, 80
7377, 0, 119
7378, 0, 88
7379, 0, 98
7380, 0, 89
7381, 0, 110
7382, 0, 90
7383, 0, 95
7384, 0, 81
7385, 0, 97
7386, 0, 81
7387, 0, 83
7388, 0, 89
7389, 0, 87
7390, 0, 98
7391, 0, 74
7392, 0, 94
7393, 0, 89
7394, 0, 83
7395, 0, 90
7396, 0, 86
7397, 0, 84
7398, 0, 86
7399, 0, 87
7400, 0, 77
7401, 0, 73
7402, 0, 73
7403, 0, 94
7404, 0, 95
7405, 0, 92
7406, 0, 83
7407, 0, 80
7408, 0, 79
7409, 0, 89
7410, 0, 79
7411, 0, 71
7412, 0, 72
7413, 0, 57
7414, 0, 63
7415, 0, 55
7416, 0, 90
7417, 0, 74
7418, 0, 79
7419, 0, 72
7420, 0, 73
7421, 0, 83
7422, 0, 68
7423, 0, 60
7424, 0, 76
7425, 0, 67
7426, 0, 58
7427, 0, 66
7428, 0, 62
7429, 0, 78
7430, 0, 69
7431, 0, 80
7432, 0, 72
7433, 0, 65
7434, 0, 63
7435, 0, 83
7436, 0, 57
7437, 0, 57
7438, 0, 61
7439, 0, 49
7440, 0, 54
7441, 0, 56
7442, 0, 64
7443, 0, 63
7444, 0, 50
7445, 0, 63
7446, 0, 68
7447, 0, 63
7448, 0, 61
7449, 0, 52
7450, 0, 64
7451, 0, 49
7452, 0, 67
7453, 0, 41
7454, 0, 46
7455, 0, 37
7456, 0, 69
7457, 0, 55
7458, 0, 71
7459, 0, 50
7460, 0, 48
7461, 0, 53
7462, 0, 53
7463, 0, 54
7464, 0, 41
7465, 0, 40
7466, 0, 41
7467, 0, 58
7468, 0, 50
7469, 0, 48
7470, 0, 53
7471, 0, 51
7472, 0, 45
7473, 0, 47
7474, 0, 46
7475, 0, 46
7476, 0, 51
7477, 0, 43
7478, 0, 43
7479, 0, 44
7480, 0, 49
7481, 0, 44
7482, 0, 51
7483, 0, 49
7484, 0, 33
7485, 0, 49
7486, 0, 45
7487, 0, 33
7488, 0, 49
7489, 0, 37
7490, 0, 32
7491, 0, 44
7492, 0, 47
7493, 0, 58
7494, 0, 50
7495, 0, 41
7496, 0, 50
7497, 0, 40
7498, 0, 50
7499, 0, 40
7500, 0, 44
7501, 0, 54
7502, 0, 42
7503, 0, 33
7504, 0, 31
7505, 0, 36
7506, 0, 45
7507, 0, 41
7508, 0, 36
7509, 0, 28
7510, 0, 32
7511, 0, 34
7512, 0, 31
7513, 0, 44
7514, 0, 32
7515, 0, 40
7516, 0, 25
7517, 0, 32
7518, 0, 26
7519, 0, 32
7520, 0, 35
7521, 0, 33
7522, 0, 39
7523, 0, 31
7524, 0, 28
7525, 0, 33
7526, 0, 44
7527, 0, 25
7528, 0, 30
7529, 0, 25
7530, 0, 30
7531, 0, 32
7532, 0, 29
7533, 0, 33
7534, 0, 30
7535, 0, 33
7536, 0, 21
7537, 0, 21
7538, 0, 29
7539, 0, 44
7540, 0, 26
7541, 0, 27
7542, 0, 29
7543, 0, 34
7544, 0, 25
7545, 0, 37
7546, 0, 24
7547, 0, 25
7548, 0, 26
7549, 0, 34
7550, 0, 27
7551, 0, 20
7552, 0, 26
7553, 0, 25
7554, 0, 27
7555, 0, 29
7556, 0, 14
7557, 0, 21
7558, 0, 28
7559, 0, 22
7560, 0, 24
7561, 0, 20
7562, 0, 22
7563, 0, 16
7564, 0, 21
7565, 0, 21
7566, 0, 22
7567, 0, 25
7568, 0, 28
7569, 0, 20
7570, 0, 18
7571, 0, 23
7572, 0, 17
7573, 0, 18
7574, 0, 24
7575, 0, 19
7576, 0, 14
7577, 0, 21
7578, 0, 19
7579, 0, 21
7580, 0, 29
7581, 0, 19
7582, 0, 18
7583, 0, 25
7584, 0, 15
7585, 0, 26
7586, 0, 18
7587, 0, 18
7588, 0, 14
7589, 0, 29
7590, 0, 21
7591, 0, 18
7592, 0, 17
7593, 0, 23
7594, 0, 14
7595, 0, 18
7596, 0, 18
7597, 0, 15
7598, 0, 16
7599, 0, 15
7600, 0, 25
7601, 0, 16
7602, 0, 22
7603, 0, 17
7604, 0, 21
7605, 0, 24
7606, 0, 15
7607, 0, 18
7608, 0, 17
7609, 0, 19
7610, 0, 22
7611, 0, 9
7612, 0, 7
7613, 0, 18
7614, 0, 12
7615, 0, 14
7616, 0, 28
7617, 0, 16
7618, 0, 16
7619, 0, 19
7620, 0, 14
7621, 0, 24
7622, 0, 8
7623, 0, 11
7624, 0, 21
7625, 0, 11
7626, 0, 8
7627, 0, 12
7628, 0, 12
7629, 0, 15
7630, 0, 15
7631, 0, 22
7632, 0, 13
7633, 0, 15
7634, 0, 19
7635, 0, 20
7636, 0, 13
7637, 0, 13
7638, 0, 11
7639, 0, 9
7640, 0, 13
7641, 0, 13
7642, 0, 13
7643, 0, 11
7644, 0, 15
7645, 0, 9
7646, 0, 18
7647, 0, 8
7648, 0, 6
7649, 0, 7
7650, 0, 13
7651, 0, 11
7652, 0, 12
7653, 0, 7
7654, 0, 11
7655, 0, 7
7656, 0, 11
7657, 0, 10
7658, 0, 11
7659, 0, 9
7660, 0, 14
7661, 0, 12
7662, 0, 10
7663, 0, 12
7664, 0, 12
7665, 0, 9
7666, 0, 13
7667, 0, 14
7668, 0, 13
7669, 0, 8
7670, 0, 10
7671, 0, 15
7672, 0, 6
7673, 0, 10
7674, 0, 9
7675, 0, 14
7676, 0, 10
7677, 0, 11
7678, 0, 13
7679, 0, 9
7680, 0, 9
7681, 0, 11
7682, 0, 8
7683, 0, 13
7684, 0, 10
7685, 0, 13
7686, 0, 9
7687, 0, 10
7688, 0, 12
7689, 0, 5
7690, 0, 16
7691, 0, 18
7692, 0, 8
7693, 0, 9
7694, 0, 8
7695, 0, 9
7696, 0, 13
7697, 0, 10
7698, 0, 12
7699, 0, 10
7700, 0, 10
7701, 0, 9
7702, 0, 9
7703, 0, 12
7704, 0, 8
7705, 0, 7
7706, 0, 10
7707, 0, 10
7708, 0, 5
7709, 0, 6
7710, 0, 8
7711, 0, 8
7712, 0, 12
7713, 0, 6
7714, 0, 5
7715, 0, 9
7716, 0, 9
7717, 0, 6
7718, 0, 12
7719, 0, 9
7720, 0, 7
7721, 0, 12
7722, 0, 7
7723, 0, 6
7724, 0, 3
7725, 0, 5
7726, 0, 8
7727, 0, 8
7728, 0, 16
7729, 0, 10
7730, 0, 11
7731, 0, 14
7732, 0, 5
7733, 0, 12
7734, 0, 3
7735, 0, 4
7736, 0, 5
7737, 0, 5
7738, 0, 5
7739, 0, 7
7740, 0, 7
7741, 0, 6
7742, 0, 9
7743, 0, 8
7744, 0, 8
7745, 0, 13
7746, 0, 11
7747, 0, 5
7748, 0, 10
7749, 0, 4
7750, 0, 7
7751, 0, 15
7752, 0, 9
7753, 0, 10
7754, 0, 8
7755, 0, 11
7756, 0, 14
7757, 0, 9
7758, 0, 5
7759, 0, 8
7760, 0, 12
7761, 0, 6
7762, 0, 13
7763, 0, 11
7764, 0, 16
7765, 0, 6
7766, 0, 8
7767, 0, 12
7768, 0, 10
7769, 0, 3
7770, 0, 11
7771, 0, 5
7772, 0, 9
7773, 0, 9
7774, 0, 6
7775, 0, 9
7776, 0, 12
7777, 0, 4
7778, 0, 11
7779, 0, 8
